f_id,i_id,ic.eps.max,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_simple.coef.min,disp.ratio_mean_05,disp.diff_mean_25,ela_level.lda_qda_10,ela_level.mmce_lda_10,disp.diff_median_25,disp.diff_mean_02,ic.eps.ratio,ela_level.lda_mda_25,disp.diff_median_10,disp.ratio_median_02,ela_level.lda_qda_50,disp.ratio_mean_02
7,1,0.017641959935977693,0.0333737921051207,-0.023573976769053873,0.0009624907793830248,-0.02694844220837555,-0.028340259284400114,0.07052700468816506,-0.06422940283313433,-0.1096025753242153,-0.032076802377899935,-0.05222143224239052,-0.005719331183310026,-0.06228779130729902,-0.02425827380597074,-0.05519455085462138
7,2,0.01677644943562892,0.03578220955707425,-0.024304607577972717,0.007253538459508429,-0.0296884332150402,-0.029336008368366875,0.05037056649699712,-0.05785739278884071,-0.10544960957272917,-0.033185733793522305,0.09438314175834256,0.0010958120770713739,-0.052519635488965585,-0.01618730313331239,-0.02710673165374442
7,3,0.013909319367035499,0.00393299545935619,-0.024765261144047007,0.005035761015752407,-0.04059206802696008,-0.031097048332587633,0.06968439826406567,-0.05849039902887424,-0.10907382048653302,-0.036032833055764386,0.09346333076562702,-5.5240536735544756e-05,-0.0495343836585198,0.0863995751177154,-0.030144372437874024
7,5,0.025845873249115324,0.02844107279606916,-0.01918280007733922,-0.022325035201450447,-0.04193434708489385,-0.032040476954496584,0.04466883778925198,-0.06048320483001178,-0.13589040481850725,-0.023760127640245855,-0.05745438351557971,-0.04040125706107964,-0.0638199378491286,-0.021735529762862263,-0.06796505104755965
8,1,0.025248701254348693,0.029734146909038306,-0.0037961181113597767,0.018459072801498756,0.03632952598050318,0.003220269750524588,0.021318827382637403,0.006875407759134886,-0.006791300112172816,-0.03194029095675579,-0.011318189024975332,0.009909497272907861,0.03440080229133841,-0.039147074762428,-0.08220498079634665
8,2,0.015660238903399622,0.021725936319165653,-0.01580496842132276,0.0204280033659487,0.04413752756749418,0.0005975406859565046,0.006424112450485978,0.0067344583644441845,-0.007573446813954084,-0.036742418737324666,-0.014403220023905821,0.021491474818702574,0.05126399408334646,-0.040744500287063196,-0.02453099272178768
8,3,0.013155348984815612,0.014385490855069133,-0.016316783296334826,0.0218044698551349,0.044618558432742254,0.0012034168929153106,0.00636300411317907,0.00706439869363264,-0.005945818046674089,-0.035091875213968504,-0.015008248121567414,0.021491474818702574,0.06157719153477975,-0.0389364802219158,-0.024703966986935964
8,5,0.01538614730775137,0.019893693849508752,-0.003823551487376683,0.018967315538655563,0.034856338744596344,0.008238404924288338,0.013750550188261169,0.006633887455632064,-0.012426121307911181,-0.036343686710529316,-0.014474511329452421,0.02141630358958374,0.03215685141833266,-0.04558716628597646,-0.08192450093320035
9,1,0.017900963502764926,0.07052021230461576,-0.01658029114378579,0.02212447358967777,0.055703677064154196,0.010899447061392916,0.008147600103072779,0.002554295844243586,0.00556322141567189,-0.01957061202012051,-0.003634577156614606,0.00390084350792941,0.047583689030290706,-0.029996952798192953,-0.012195623086671742
9,2,0.020676503087919004,0.06588609429698501,-0.023351954609803147,0.015571247186061102,0.048951940050905675,-0.0043034994158190855,0.008263586503731475,0.003054564291241677,0.0040708835721084595,-0.018559953555690886,-0.007074791002823661,0.0030002671085507873,0.04631059730114686,-0.025749699283398944,-0.0037330840997583164
