f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,ela_meta.lin_simple.coef.max_by_min,ela_level.mmce_lda_10,ela_level.mmce_mda_10,nbc.nn_nb.sd_ratio,ela_level.mmce_lda_25,ic.eps.max,ela_level.lda_qda_25,ela_level.lda_mda_25,pca.expl_var_PC1.cor_init,ela_distr.kurtosis,ic.h.max,ela_meta.quad_simple.adj_r2
6,1,0.16236457110766384,0.12300004129940281,-0.16634648212043018,-0.06833615097398421,0.028509057409740635,0.05499809402800014,0.02235811937211174,-0.1842875420523177,-0.06227950924211799,-0.051799043508967677,0.006209169078902246,0.34916810158344375,-0.06385736904504592,-0.08240884805938944,-0.02065882012512102
6,2,0.18730332260838053,0.15135614213474746,-0.14477736523447104,-0.0640286156792389,0.12513487137195095,0.11792769781594406,0.0901360874412748,-0.2141553873095865,-0.06161656393317441,-0.027504243376945778,-0.03241212467380833,0.3243522566430319,-0.059557130271097436,-0.047050069419338966,-0.039149177417908965
6,3,0.17941043573052584,0.13909908251581607,-0.13170945808067272,-0.07260188024580742,0.0818323273580553,0.09551381024175884,0.08248781713532882,-0.22488001899892804,-0.059339814836454896,-0.03820007641633234,-0.011883962729321518,0.333114810329604,-0.06424257728939306,-0.046085962214912346,-0.045929827257016664
6,5,0.19666609792609066,0.1653835804166956,-0.1233170653898587,-0.0744227471213337,0.1105679237074094,0.09487660147914213,0.026296510398308187,-0.16426780683188372,-0.06571532785438222,-0.05117762265350504,-0.007779657708341103,0.25273062852770745,-0.06071838524954207,-0.11600210655684913,0.00711549662926475
7,1,-0.07359821494254612,-0.10231174678577673,-0.24257877150226487,-0.028982518901720045,-0.13340003554299118,-0.006197379999331357,0.09243116517652836,-0.16418131133163477,-0.05540872956227255,0.07342707385667185,0.0750584115570418,0.39616780062583107,-0.040586921054210134,-0.09786821172339526,-0.02167834162266946
7,2,-0.1045707226937781,-0.1300498702269619,-0.1899305707087176,-0.05883303921457872,-0.2891528215310291,-0.19704239996841313,0.06708591440433587,0.06355537692236407,-0.04980063309634011,0.1268568088580641,0.09370243884126173,0.29813413263985816,-0.03510827207790573,-0.0646746986444349,0.038683534313735723
7,3,-0.1044647600268418,-0.12328261116746186,-0.1471654799404844,-0.059590472376544024,-0.10157962184696845,-0.07184947580448997,0.028110366386859487,0.16955306801410666,-0.04714092190337399,0.0568482790000788,0.092280865615569,-0.04146730101853918,-0.03207374175706823,-0.034556639689586166,0.1865784462823602
7,5,-0.10305247959486317,-0.12765615266492528,-0.17503881208594066,-0.05990968498201937,-0.1300371333606035,-0.02831656286671251,0.12153921507980431,-0.09147183054550556,-0.05277081521805914,0.09728565954377578,0.0463089433650794,0.3504011422288559,-0.041940799811953394,-0.030485567764019353,-0.007833291835849465
8,1,0.19864018264957894,0.17637438729355026,0.03475937711499677,-0.061317502220283704,0.13068982365330817,0.12569033063802182,0.1536263344740949,-0.07204894039463738,-0.055266987431343034,-0.0628918869923715,-0.06229141232597224,0.23931208245627555,-0.04919445325163738,-0.015770127411439627,-0.25901743928945287
8,2,0.23215484933624697,0.20423203069042895,0.014805320454518434,-0.042184179655940734,0.20969022532499826,0.20994669071344774,0.1448906258389957,-0.1752764705732776,-0.05502519022442004,-0.041264198714004774,-0.04112400380724729,0.2618710098994157,-0.05044285843675084,-0.03946853378017301,-0.24693172979556
