f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_simple.coef.max,ela_distr.skewness,nbc.dist_ratio.coeff_var,ela_level.mmce_lda_10,ic.h.max,nbc.nn_nb.sd_ratio,disp.diff_mean_10,nbc.nn_nb.cor,ela_distr.kurtosis,ela_level.qda_mda_10,ela_level.lda_mda_25
6,2,0.029838144806257204,0.014016799844092195,0.09412544779393299,0.04714817534291689,0.06346415953464539,-0.040730756707794975,0.00157555209022112,0.031195763498516577,-0.059650521155929614,-0.028781231198382287,-0.023477070510147174,-0.029714082981911326,0.008353958001687338,-0.012843502992268054,0.0102622528528084
6,4,0.04356166875873165,0.04205310476737395,0.08949443469251887,0.05165540642281506,0.07823325558987217,-0.0355031427688478,-0.006309580206716823,0.019975232243085627,-0.10556942781277294,-0.027743018506456843,-0.019722455260022854,-0.026369472434475415,0.07300867749774977,-0.03559938577907124,0.012806101125012612
6,5,0.028377690400873616,0.008010754630940121,0.07999543500593306,0.06516713286277025,0.06457064775157446,-0.04693775557104728,0.01114730767576224,0.02039366835305214,-0.09821463149340856,-0.02411614768293187,-0.014058127488168558,-0.015187621012993806,-0.024464896573024756,0.014752382520058437,0.010133602387917637
7,1,0.01004262629559435,-0.09334664618580339,0.10866994306754409,0.05617700421585808,0.0024087401462998185,-0.03488638513829434,-0.004186992548327818,0.0009395134878806096,-0.08107915134872089,-0.03422098027267128,-0.013026685121782056,-0.01480310271515136,-0.022337824435135444,-0.04705391556280712,-0.022265031410269632
7,2,-0.005228124792650895,-0.1000009429854755,0.026649975693319918,0.050787068998182146,-0.026065944463940664,-0.035908175010641176,-0.003869193659277355,-0.26653989150318924,-0.05656007949032321,-0.03726687646093397,-0.012822699806150764,-0.015143651197499827,-0.02216092921567855,-0.04189823448833482,-0.019774354323357467
7,4,0.017430637065918336,-0.13414330234269778,0.018800729612509993,0.04864852403035344,0.017883189567558057,-0.042505788216899654,0.0006717185520294984,0.012408639462127368,0.011584370859250301,-0.010899988340336677,-0.014228274606299336,0.005124240354184048,-0.022380612463846285,-0.0541040744846416,-0.02196574795530062
7,5,-0.017751544409815762,-0.10130875420338603,0.08682060822720986,0.047345551674572155,-0.011101011453505977,-0.031546242156490836,0.0007002296287018649,-0.008958625925585441,-0.08243256420318458,-0.013457282893976904,-0.016356834542815907,-0.01107191364220729,0.01113789679255972,-0.04773547443452971,-0.03209984213209321
8,1,0.040150122138743645,0.03315437151170293,0.11557959484755269,0.056131976324306415,0.04581895221241919,-0.036286890163896884,0.027794565043353762,0.006933757343992579,0.013338353568855873,-0.008202020930619605,0.04249137171670763,-0.00152043045903097,0.007211502551681358,0.005979218557428825,0.02009161313507827
8,2,0.06608825520283877,0.05840453753922242,0.13150214453743586,0.06170239215367609,0.06086859649044683,-0.03236995234873248,0.02722153589646219,0.03954287874373686,0.0429333465679873,0.03864439309851594,0.041382589775897885,0.037703992924033584,0.003265692675675062,0.019378587021430447,0.021441323469394206
8,4,0.0838195043086019,0.055233611452448636,0.1603305190501688,0.07023861877299337,0.06492577315246088,-0.02936869397917992,0.030797059405742868,0.027092985948067225,0.08344015659549107,0.05453891377298096,0.06332148471283186,0.05905446098277898,0.0741067073208826,0.016603704332087254,0.024793358691690588
