f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_meta.lin_simple.intercept,pca.expl_var_PC1.cor_init,nbc.nn_nb.mean_ratio,ela_level.lda_qda_10,ic.m0,nbc.dist_ratio.coeff_var,ela_level.lda_mda_10,ela_meta.lin_simple.adj_r2,ela_level.qda_mda_50,ela_level.mmce_qda_50,ela_distr.kurtosis,ic.eps.s,ela_level.qda_mda_10,ela_level.mmce_lda_50,ela_level.qda_mda_25,ela_meta.quad_simple.cond,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_50,ela_meta.quad_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_level.mmce_mda_25,pca.expl_var.cor_init,ela_level.lda_mda_25,disp.diff_median_10,disp.diff_median_02
8,4,0.39169191267807746,-0.22759277925059923,0.16504892428488097,0.04485922054223044,0.004256709342860864,-0.006966617919845313,0.020530431865112633,0.003961336833729965,0.009466408847471667,-0.0019363314720908242,-0.008261273163431962,-0.018998417603230542,-0.004855969864000596,-0.013681924895456221,0.001144078831446435,0.026058676435404868,0.015164630661164835,-0.0016760019078067452,0.006804512542166745,-0.01739619937666743,-0.008032805562705206,0.0019458448502834898,-0.007243044522105696,-0.010325502442552967,-0.00464016530085993,-0.0011658068196136737,0.0003484104916039073,0.005652542234446273,0.01699599409188899,0.022749587198525507
8,5,0.3929347906968016,-0.22272178319193792,0.1660697623614111,0.04618760930750963,0.004523411279967122,-0.006966617919845313,0.021874838333664142,0.003961336833729965,0.008223249776971687,-0.0025700031060537226,-0.009017931636225718,-0.018639667768315816,-0.005567326659747106,-0.013681924895456221,0.0011520620467564205,0.035443214223165945,0.015125472994893282,-0.011753064889752283,0.006400538554423599,-0.01739619937666743,-0.007360875356481611,0.0016837770323022382,-0.008079776297283441,-0.013968214225155928,-0.0044489422542114115,0.0022449916462183796,-0.0024388734412273544,0.006020221401141805,0.015290615487780079,0.0223046737259635
9,1,0.3968453063526401,-0.21494934940845078,0.22049059510053562,0.04705847509167548,0.005347863211317853,0.04114099605747672,0.08385078937931795,0.0035784868731589463,0.01562977444428196,0.04038042706122595,0.03796297565770402,0.01150462380482485,0.027378216076214188,0.019983007193415017,0.013376161995111656,0.03520383584013363,0.01872950301151068,0.016965021987225437,0.012438875888551129,0.01316473411757389,0.03889302269156578,0.0015793742903534762,0.021568429222118584,0.007742705446130741,0.009199796561767724,0.02273600180223392,3.752996216654545e-05,0.000726957959154901,0.009710170414412205,0.007504481410537968
9,2,0.39504352139261284,-0.2152503157268459,0.21953266144019032,0.0472090087777448,0.0007325983093639087,0.04114099605747672,0.08385078937931795,0.0035784868731589463,0.013750537591589666,0.0408143982093743,0.038132435320705114,0.01150462380482485,0.019223323359919508,0.02094204005201651,0.013452043238055508,0.03520383584013363,0.01872950301151068,0.016965021987225437,0.012438875888551129,0.013210936221252986,0.04291361951612959,0.0015793742903534762,0.021568429222118584,0.007742705446130741,0.009199796561767724,0.022628333660622942,3.752996216654545e-05,0.007577833149158827,0.007331885768546743,0.00747231696117857
9,4,0.3927398088892741,-0.2155191618702192,0.21898432131038184,0.047016687180841836,0.0007325983093639087,0.04114099605747672,0.08385078937931795,0.0035784868731589463,0.013558215994686693,0.04077267951927098,0.038143826505494006,0.01150462380482485,0.01918160466981619,0.02094204005201651,0.013456855988719941,0.03520383584013363,0.01872950301151068,0.016965021987225437,0.012438875888551129,0.01316473411757389,0.03889302269156578,0.0015793742903534762,0.021568429222118584,0.007742705446130741,0.009199796561767724,0.02273600180223392,3.752996216654545e-05,0.000726957959154901,0.009710170414412205,0.007504481410537968
9,5,0.37914675556403515,-0.21750749780130743,0.21503854351753182,0.047238619877825454,0.0007325983093639087,0.03431060961422719,0.07688619639615844,0.0035784868731589463,0.013674247398876627,0.0404609127254523,0.034436885940929425,0.01150462380482485,0.014454497247106643,0.019983007193415017,0.013373712310583697,0.03222240876457701,0.01872950301151068,0.011341948027595548,0.007815381471142807,0.004196085452991398,0.0343462303000474,0.0015793742903534762,0.021568429222118584,0.007742705446130741,0.009199796561767724,0.02267563838772425,3.752996216654545e-05,0.000726957959154901,0.010393139964944788,0.007504481410537968
10,1,0.6687026121645441,2.571226220858016,0.040583156603708884,0.018674252390507174,-0.007070726283925063,-0.004037019996595324,-0.026348567754233176,-0.009444669604055482,-0.015150055318509985,-0.01752305858161824,-0.013326662402677302,-0.0170617864428916,-0.004901695888811115,-0.008644360003558046,-0.007876026688893041,0.01661650807098659,-0.014108093096412316,-0.0128122270518094,0.007468682561035109,0.0015920621137582593,-0.028150206360237413,-0.01646651801164336,-0.015537013314651323,-0.00422187743175951,-0.0024937933686563427,-0.020041252201312913,-0.00025050991881098855,-0.005607378565276561,-0.01779022996886636,-0.015077806625143717
10,2,0.3366633498707283,2.6264044967603284,0.047170632022973086,0.016223134659216917,-0.007070726283925063,-0.0033097802776519128,-0.027570176724761683,-0.009387741780487978,-0.01617570634998628,-0.015948471602712438,-0.024053985320969477,-0.016535222158638577,-0.00472435266605311,-0.009086691290454071,-0.0074624733855099155,0.01661650807098659,-0.0141414429737731,-0.010898410996254944,-0.022474830142477836,0.0023247770477292542,0.00040793731279995795,-0.01643661763510118,-0.00372988609124338,0.0028655927021925274,-0.0024937933686563427,-0.0021665904218111016,-0.0005620229173041872,-0.005638614656758811,-0.027072891779123618,-0.016825846557198886
10,4,0.6840578863812773,2.4095265783112194,0.04035298104277121,0.019765914918597857,-0.007037028773231802,-0.004237076685197899,-0.022668604668296774,-0.008958951729614587,-0.015843925569308536,-0.01641079406423384,-0.016115141711850398,-0.017779945556685738,-0.005032328589172264,-0.008545805987814169,0.003442468446149706,0.01621524573404403,-0.012843509658550871,-0.012851050263966192,0.0044588160902023135,-0.0015491164940967116,-0.02714986283691636,-0.015991222017288434,-0.015362580505851231,-0.004079832478564986,0.019809670441944906,-0.019718272524823825,-0.00025050991881098855,0.008693415978897343,-0.016025113828064583,-0.013823043960050817
10,5,0.3956127166000504,1.479728723809622,0.0890378165437377,0.019660713258960922,-0.006047848043803718,0.008293351999163385,-0.026649400145019944,-0.008089546083922506,-0.0215328990382628,-0.012578869689862163,0.03777347077362557,0.01532820637164655,-0.010146632470539395,-0.012423757257873131,0.002881312565222151,0.019220050543820734,-0.012747389294722355,-0.0018757571573545452,0.005106513801467672,0.00017461679364151822,0.03366396767385523,-0.00651205881375347,0.014674569902104063,0.005262426820046554,0.026519849084409734,4.448628330725362e-05,2.1600697273562873e-05,-0.0023377164234594083,-0.01640167098907392,-0.007674179260794106
