f_id,i_id,ic.eps.s,ic.eps.ratio,ela_level.qda_mda_25,ela_level.mmce_lda_50,ela_level.qda_mda_50,ela_level.lda_qda_10,pca.expl_var.cor_init,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.cond,nbc.nb_fitness.cor,ela_distr.kurtosis,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.coef.max_by_min,ela_level.qda_mda_10,ela_distr.skewness
7,2,-0.04586377184838458,-0.029344715797218285,-0.10821697054130514,0.02444920842478515,-0.033304712501009054,-0.032603784008457995,-0.004221171105490418,-0.1743249151284093,0.0041356983333238895,-0.06569968083234307,-0.02639159693537324,0.04011836879892175,-0.006190835821742485,0.1049322711696461,-0.03904160401652523
7,3,-0.0989099127657623,-0.07998483295308835,-0.17042142639606664,-0.07155870890770116,0.4266090069794632,-0.14968122406530848,0.05928742505426965,-0.22219710271646892,0.009048043622047683,-0.05960592829939047,-0.013202196994759288,0.04550425042792757,-0.01273755553943047,0.16009529760331295,-0.017687471650948333
7,4,-0.12420570014471499,-0.09423784359596399,-0.10094733945593898,-0.0336429611785658,0.15219379424283683,-0.13222215644099022,0.03376644521983266,-0.24567940612171052,0.004829415522571295,-0.06173659739128812,-0.026967193565125835,0.04912689716037327,-0.019003936814199707,0.12402438849873407,-0.06002524589372804
7,5,-0.05761324162820758,-0.038474318847142,-0.0866655959399637,0.03935402631750942,-0.06364888724435486,-0.02100108442696591,0.0030051854076388884,-0.1816018399133022,0.0031545437467882798,-0.06390065189439884,-0.025241893921474523,0.04187773171497028,-0.005863343149188405,0.09712376576966332,-0.045422624399538925
8,2,0.10015536249996355,0.06452065356035097,0.0049313701615723605,0.012493386029961775,-0.053169677069217755,-0.07932671462628482,-0.026064858658325613,-0.06484235077516531,0.01875655928836207,-0.020012470524348076,-0.02559938046183883,0.06449129091554229,0.0018465394952037022,-0.017983998603792496,-0.05428388180172697
8,3,0.10466701680248239,0.07081751658810564,0.01805515755402129,0.012652114464338213,-0.052430784409848274,-0.07681150166054306,0.0049482906863128305,-0.05307752991833537,0.017725996930944093,-0.0046740458858367424,-0.02586253857470258,0.06548511430158957,-0.01937320653723449,-0.016382965371684335,-0.05940810728347603
8,4,0.08541509969299121,0.04435469257383626,0.03550202704071877,0.027170637519005836,0.04713343818997025,-0.04989835898751738,0.037695041164656204,0.005173293562326542,0.01574353654318239,-0.05438531441095262,-0.029164403699091734,0.06684171912813235,-0.0175678140904489,-0.0235971667328828,-0.07650617152196604
8,5,0.10417768041187078,0.0709483025415394,0.02225548636642702,0.015143677439405381,-0.0060049874948047005,-0.0711654408456534,0.004955185295054058,-0.056213521102466385,0.014459375451047057,-0.005290564228118723,-0.02570358380240942,0.06712460390321616,-0.02145015814434238,-0.020742228915529654,-0.05089812815790552
9,2,0.0703746828176213,0.050396983495765726,0.024909783491579823,-0.16101815767694877,0.45399902454810925,-0.10260160273409866,-0.018541397821558836,0.1490460262685566,0.008483034148440233,-0.04077560469594112,-0.00444274788000483,0.047327977504459384,-0.008855425155863246,-0.31908457477562613,0.0016747909914223702
9,3,0.0774834101305045,0.054630879424861334,0.02819763415276677,-0.16158152205875692,0.4844863189847296,-0.09246490652620033,-0.004450031480895664,0.1393665254192999,0.009570884802454854,-0.04189808410262624,0.0,0.049649084284543954,-0.01825263125908061,-0.2725218990304884,0.00769327964526445
9,4,0.07195808180969039,0.049480027091023754,0.027712886112436802,-0.15686562695348355,0.48050331238113253,-0.09424693550681638,-0.011866267785068746,0.14319680137455967,0.01178281795338293,-0.03922801658606112,-0.0034655601729010888,0.04898363629368066,-0.016989487267165662,-0.2933655867589968,0.005702289587675713
9,5,0.07454119940968229,0.05533592219467173,0.026397600064559212,-0.15651638542004506,0.4732413660702764,-0.09608689068675833,-0.009852580278296594,0.14349193724996553,0.01159892808708507,-0.04260805260504909,-0.0025776248059102835,0.0465383551694879,0.006601265957570199,-0.3109439490229609,0.008288532407107418
10,2,0.45849100605286597,0.4286450213368864,-0.04674696599531325,0.08967512786150666,-0.06055511316166795,1.0424628889656717,0.0,0.11190270647109868,0.04641812897193609,0.10703020897314364,0.029976451306108265,0.05240233105812564,0.07573983814484064,0.6768555710647977,0.029476455070863494
10,3,0.5865988820062282,0.5288686556060944,0.08490832975533635,0.06836765581120052,0.2907485615913419,0.18254226837784593,0.32834246915917276,0.0,0.04512519668948656,0.09977406447850679,0.030386042954988257,0.07261544067084769,0.039138832474137075,0.5838238642519427,0.07731884081549678
10,4,0.4626957268603331,0.4582927147166178,0.06875248555231384,0.085248857081764,0.0,1.051417854677064,-0.0240557023603043,0.09492921128205412,0.043619794360143294,0.10241978000931407,0.04405661421235907,0.06306270835586503,0.04171080994000431,0.6203691336523587,0.05399978200814015
